gene,term,description,domain
CHAFR746836.1.1_0057030.1,GO:0004749,ribose phosphate diphosphokinase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057030.1,GO:0009165,nucleotide biosynthetic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0057030.1,GO:0000287,magnesium ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057030.1,GO:0009156,ribonucleoside monophosphate biosynthetic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0057030.1,GO:0044249,cellular biosynthetic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0057040.1,GO:0016787,hydrolase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057050.1,GO:0016020,membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0057050.1,GO:0015079,potassium ion transmembrane transporter activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057050.1,GO:0071805,potassium ion transmembrane transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0057060.1,GO:0008270,zinc ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057080.2,GO:0016021,integral to membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0057080.2,GO:0055085,transmembrane transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0057080.1,GO:0055085,transmembrane transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0057080.1,GO:0016021,integral to membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0057090.1,GO:0008270,zinc ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057090.1,GO:0005515,protein binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057100.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057010.1,GO:0022891,substrate-specific transmembrane transporter activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057010.1,GO:0016020,membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0057010.1,GO:0055085,transmembrane transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0057010.1,GO:0022857,transmembrane transporter activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057010.1,GO:0016021,integral to membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0057010.1,GO:0006810,transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0057010.1,GO:0005215,transporter activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057000.1,GO:0004764,shikimate 3-dehydrogenase (NADP+) activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057000.1,GO:0055114,oxidation-reduction process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0057120.1,GO:0008152,metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0057120.1,GO:0016491,oxidoreductase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057140.1,GO:0003676,nucleic acid binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057140.1,GO:0000166,nucleotide binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057160.1,GO:0055114,oxidation-reduction process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0057160.1,GO:0016491,oxidoreductase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057160.1,GO:0005507,copper ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057170.1,GO:0016705,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057170.1,GO:0055114,oxidation-reduction process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0057170.1,GO:0004497,monooxygenase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057170.1,GO:0020037,heme binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057170.1,GO:0005506,iron ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057190.1,GO:0005515,protein binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057200.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056730.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056730.1,GO:0008152,metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0056740.1,GO:0016021,integral to membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0056740.1,GO:0055085,transmembrane transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0056750.1,GO:0055085,transmembrane transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0056770.1,GO:0005525,GTP binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056770.1,GO:0003924,GTPase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056780.1,GO:0016779,nucleotidyltransferase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056780.1,GO:0009058,biosynthetic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0056780.1,GO:0016740,transferase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056790.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056790.1,GO:0010181,FMN binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056790.1,GO:0055114,oxidation-reduction process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0056790.1,GO:0016491,oxidoreductase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056800.1,GO:0005576,extracellular region,CELLULAR_COMPONENT
CHAFR746836.1.1_0056800.1,GO:0030570,pectate lyase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056810.1,GO:0006468,protein phosphorylation,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0056810.1,GO:0004672,protein kinase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056810.1,GO:0005524,ATP binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056810.1,GO:0004674,protein serine/threonine kinase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056810.1,GO:0016772,transferase activity, transferring phosphorus-containing groups,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056830.1,GO:0016788,hydrolase activity, acting on ester bonds,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056850.1,GO:0016491,oxidoreductase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056850.1,GO:0008152,metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0056860.1,GO:0050660,flavin adenine dinucleotide binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056860.1,GO:0016491,oxidoreductase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056860.1,GO:0008762,UDP-N-acetylmuramate dehydrogenase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056860.1,GO:0055114,oxidation-reduction process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0056860.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056860.1,GO:0016614,oxidoreductase activity, acting on CH-OH group of donors,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056880.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056880.1,GO:0055114,oxidation-reduction process,BIOLOGICAL_PROCESS
